Components,Amount,Total Price,Buy Link
"1.3 Inch I2C/IIC OLED Display Module 4pin",1,4.08,"https://makerbazar.in/products/oled-display-1-3-inch-white?variant=44312820285680"
"Waveshare ESP32-S3 Mini Development Board",1,6.47,"https://robu.in/product/waveshare-esp32-s3-mini-development-board-based-on-esp32-s3fh4r2-dual-core-processor-240mhz-running-frequency-2-4ghz-wi-fi-bluetooth-5/"
"12x12x12mm Tactile Push Button Switch-10Pcs",1,0.50,"https://robu.in/product/12x12x12mm-tactile-push-button-switch-10pcs/?gad_campaignid=17427802703"
"TP4056 Adjustable 1A Li-ion lithium Battery Charging Module",1,0.14,"https://robu.in/product/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c/"
"Rainbow Color Flat Ribbon Cable",1,1.41,"https://robu.in/product/1-27mm-26awg-pure-copper-40pin-dupont-wire-flexible-rainbow-color-flat-ribbon-cable-1-meter/"
"WLY902025 3.7V 400mAh 1S LiPo Battery",1,2.82,"https://robu.in/product/400mah-pcm-protected-micro-li-po-battery-2/"
"TTP223 Touch Key Module",1,0.18,"https://robu.in/product/ttp223-touch-key-module-2pcs/?gad_campaignid=17427802703"
"Miscs (screws, small parts)","",2.00,""
"Shipping and extra fees","",1.50,""
"Total","",19.10,""
